Building,Area,province,Thai_District,District,Thai_Subdistrict,Owner,Construction,Map,Population,Latitude,Longtitude,Impact
Condo,21224.00,Bangkok,สาทร,Sathon,ทุ่งมหาเมฆ,บริษัท ศุภาลัย จำกัด (มหาชน),New Build,28,84916,13.708056,100.526389,-4
Condo,2552.00,Bangkok,ดุสิต,Dusit,สวนจิตรลดา,นางสุรีย์  ยงเกียรติตระกูล,New Build,2,107655,13.776944,100.520556,-1
Condo,21053.00,Bangkok,บางรัก,Bang Rak,สี่พระยา,บริษัท ไซมิสสุรวงศ์ จำกัด,New Build,4,45875,13.730833,100.524167,-2
Condo,3187.00,Bangkok,พระโขนง,Phra Khanong,บางจาก,ห้างหุ้นส่วนจำกัด น้ำผึ้งทอง,New Build,9,93482,13.702222,100.601667,-4
Condo,8285.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางคอแหลม,กองทุนรวมแอสเสทโกรท,Adapt/Renovate,31,94956,13.693333,100.5025,0
Condo,8285.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางคอแหลม,กองทุนรวมแอสเสทโกรท,Adapt/Renovate,31,94956,13.693333,100.5025,0
Condo,3752.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางคอแหลม,กองทุนรวมแอสเสทโกรท,Adapt/Renovate,31,94956,13.693333,100.5025,0
Condo,3661.00,Bangkok,พระโขนง,Phra Khanong,บางจาก,ห้างหุ้นส่วนสามัญ เอม.เอ็น 56,Adapt/Renovate,9,93482,13.702222,100.601667,-4
Condo,52026.00,Bangkok,คลองสาน,Khlong San,คลองสาน,บริษัท เนอวานา ดีเวลลอปเม้นท์ จำกัด,New Build,18,76446,13.730278,100.509722,-2
Condo,42119.00,Bangkok,สวนหลวง,Suan Luang,สวนหลวง,บริษัท ซีทีซีซี เ อ็นจิเนียริ่ง จำกัด,New Build,34,115658,13.730278,100.651389,-5
Condo,9900.00,Bangkok,ประเวศ,Prawet,ประเวศ,บริษัท หลง ซัน อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,Adapt/Renovate,32,160671,13.716944,100.694444,-5
Condo,29997.00,Bangkok,คลองเตย,Khlong Toei,คลองตัน,บริษัท แอล.พี.เอ็น.ดีเวลลอปเมนท์ จำกัด (มหาชน),New Build,33,109041,13.708056,100.583889,-4
Condo,9406.00,Bangkok,คลองเตย,Khlong Toei,คลองตัน,บริษัท แอล.พี.เอ็น.ดีเวลลอปเมนท์ จำกัด (มหาชน),New Build,33,109041,13.708056,100.583889,-4
Condo,29050.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท เฟรเกรนท์ ดีเวลลอปเม้นท์ จำกัด,New Build,39,81623,13.742222,100.585833,-5
Condo,3816.00,Bangkok,จตุจักร,Chatuchak,จตุจักร,บริษัทไฮ เพลส แลนด์ กรุ๊ป จำกัด,New Build,30,160906,13.828611,100.559722,-5
Condo,96488.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด (มหาชน),Adapt/Renovate,39,81623,13.742222,100.585833,-5
Condo,3069.00,Bangkok,จอมทอง,Chom Thong,บางมด,นางพรรณทิพา   วัชโรบล,Adapt/Renovate,35,158005,13.677222,100.484722,0
Condo,56696.00,Bangkok,ธนบุรี,Thon Buri,บุคคโล,บริษัท พรีเมี่ย ดรสซิเดนซ์ จำกัด,New Build,15,119708,13.725,100.485833,-2
Condo,118428.00,Bangkok,บางแค,Bang Khae,บางแคเหนือ,บริษัท แอล.พี.เอ็น.ดีเวลลอปเมนท์ จำกัด (มหาชน),New Build,40,191781,13.696111,100.409444,-2
Condo,73716.00,Bangkok,คลองสาน,Khlong San,คลองต้นไทร,บริษัท ดิไอคอนสยาม เรสซิเดนซ์  คอร์ปอเรชั่น จำกัด,New Build,18,76446,13.730278,100.509722,-2
Condo,38903.70,Bangkok,ราชเทวี,Ratchathewi,ถนนพญาไท,บริษัท อนันดา เอ็นเอฟ เอเชีย ราชเทวี จำกัด,New Build,37,73035,13.758889,100.534444,-5
Condo,29761.00,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),New Build,29,132234,13.809722,100.537222,-4
Condo,38890.00,Bangkok,บางนา,Bang Na,บางนา,บริษัท อนันดา  ดีเวลลอปเม้นท์ จำกัด (มหาชน),New Build,47,95912,13.680081,100.5918,-5
Condo,61048.00,Bangkok,จตุจักร,Chatuchak,จอมพล,บริษัท บีทีเอส แสนสิริ โฮลดิ้ง วัน จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,10013.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท อนันดา เอ็มเอฟ เอเชีย อโศกด จำกัด,New Build,39,81623,13.742222,100.585833,-5
Condo,37755.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด (มหาชน),New Build,39,81623,13.742222,100.585833,-4
Condo,30813.00,Bangkok,จตุจักร,Chatuchak,จอมพล,บริษัท พฤกษา เรียลเอสเตท จำกัด (มหาชน),New Build,30,160906,13.828611,100.559722,-4
Condo,3683.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,นางจรินทร์  พงศ์ไพโรจน์,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Condo,111173.00,Bangkok,จตุจักร,Chatuchak,จตุจักร,บริษัท ซาแลน  ดีเวลลอปเมนท์ จำกัด,New Build,30,160906,13.828611,100.559722,-5
Condo,73153.00,Bangkok,ภาษีเจริญ,Phasi Charoen,บางด้วน,บริษัท จี ดี ที พร็อพเพอร์ตี้ จำกัด,New Build,22,129827,13.714722,100.437222,-1
Condo,54540.98,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,บริษัท สยามสินธร จำกัด,Adapt/Renovate,7,53263,13.744942,100.5222,-5
Condo,65558.00,Bangkok,คลองเตย,Khlong Toei,คลองเตย,บริษัท คลอลิตี้ เฮ้าส์ จำกัด (มหาชน),New Build,33,109041,13.708056,100.583889,-4
Condo,81031.00,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,สำนักงานพระคลังข้างที่,New Build,7,53263,13.744942,100.5222,-5
Condo,51179.00,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,บริษัท เรียลแอสเสท ดีเวลลอปเม้นท์ จำกัด,New Build,29,132234,13.809722,100.537222,-4
Condo,124843.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท แบงค์ค็อกไนท์บาซาร์ จำกัด,Adapt/Renovate,30,160906,13.828611,100.559722,-4
Condo,126186.00,Bangkok,บางแค,Bang Khae,บางแค,บริษัท เจ.เอส.พี.พร็อพเพอร์ตี้ จำกัด (มหาชน),New Build,40,191781,13.696111,100.409444,-2
Condo,10121.00,Bangkok,บางเขน,Bang Khen,ท่าแร้ง,บริษัท ทีอาร์ซี คอนสตรัคชั่น จำกัด (มหาชน),New Build,5,189539,13.873889,100.596389,-1
Condo,73632.00,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,บริษัท แสนสิริ จำกัด (มหาชน),New Build,29,132234,13.809722,100.537222,-4
Condo,80246.00,Bangkok,คลองสาน,Khlong San,คลองต้นไทร,นิติบุคคลอาคารชุด บ้านสาทร เจ้าพระยา,Adapt/Renovate,18,76446,13.730278,100.509722,-2
Condo,27523.00,Bangkok,ดินแดง,Din Daeng,ดินแดง,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),Adapt/Renovate,26,130220,13.769722,100.552778,-5
Condo,28771.00,Bangkok,ธนบุรี,Thon Buri,บางยี่เรือ,บริษัท สันติโชค จำกัด,New Build,15,119708,13.725,100.485833,-2
Condo,59976.00,Bangkok,จตุจักร,Chatuchak,จอมพล,บริษัท เมเจอร์ ดีเวลลอปเม้นท์ เอสเตท จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,3803.00,Bangkok,ดอนเมือง,Don Mueang,สีกัน,บริษัท เอสที พรีเมียม แลนด์ จำกัด,Adapt/Renovate,36,166261,13.913611,100.589722,-3
Condo,16254.00,Bangkok,บางรัก,Bang Rak,สี่พระยา,บริษัท อนันดา เอ็มเอฟ เอเชีย สามย่าน จำกัด,New Build,4,45875,13.730833,100.524167,-2
Condo,3191.00,Bangkok,คลองสาน,Khlong San,คลองสาน,นางมาลากูล  สุขพรชัยรัก,Adapt/Renovate,18,76446,13.730278,100.509722,-2
Condo,89625.00,Bangkok,คลองเตย,Khlong Toei,คลองตัน,บริษัท พราวด์ เรสซิเดนซ์ จตำกัด,New Build,33,109041,13.708056,100.583889,-4
Condo,29356.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท กังวาลโฮลดิ้ง จำกัด,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Condo,131313.00,Bangkok,บางรัก,Bang Rak,สีลม,"บริษัท เพซ โปรเจค วันจำกัด บ.เพซ โปรเจ็ค ทู จำกัด, บ.เพซ โปรเจ็ค ทรี จำกัด",Adapt/Renovate,4,45875,13.730833,100.524167,-2
Condo,28610.00,Bangkok,ราชเทวี,Ratchathewi,ถนนพญาไท,บริษัท ศุภาลัย จำกัด (มหาชน),New Build,37,73035,13.758889,100.534444,-5
Condo,26171.00,Bangkok,จอมทอง,Chom Thong,บางค้อ,บริษัท เอพี(ไทยแลนด์) จำกัด (มหาชน),New Build,35,158005,13.677222,100.484722,0
Condo,23696.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท เคพีเอ็น กร๊ป คอร์ปอเรชั่น จำกัด,New Build,39,81623,13.742222,100.585833,-4
Condo,55206.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท อนันดา เอ็มเอฟ เอเชีย อโศก จำกัด,New Build,39,81623,13.742222,100.585833,-5
Condo,35184.00,Bangkok,จตุจักร,Chatuchak,จอมพล,บริษัท วิซคอม พินนาเคิล คอร์ปอเรชั่น จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,46749.00,Bangkok,คลองสาน,Khlong San,คลองต้นไทร,บริษัท ดิไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,New Build,18,76446,13.730278,100.509722,-2
Condo,89612.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท บางกอกอะพาร์ทเม้นท์ จำกัด,New Build,37,73035,13.758889,100.534444,-5
Condo,32889.00,Bangkok,ธนบุรี,Thon Buri,ตลาดพลู,บริษัท แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),New Build,15,119708,13.725,100.485833,-2
Condo,47397.00,Bangkok,จตุจักร,Chatuchak,ลาดยาว,บริษัท แกรนด์ ยูนิตี้ ดิเวลล็อปเมนท์ จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,148145.00,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),Adapt/Renovate,7,53263,13.744942,100.5222,-5
Condo,79422.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท ศุภาลัย จำกัด (มหาชน),New Build,17,78175,13.776667,100.579444,-5
Condo,47168.00,Bangkok,ภาษีเจริญ,Phasi Charoen,ปากคลองภาษีเจริญ,บริษัท ชัยพัฒนาที่ดิน จำกัด,New Build,22,129827,13.714722,100.437222,-1
Condo,30270.00,Bangkok,บางรัก,Bang Rak,สีลม,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),New Build,4,45875,13.730833,100.524167,-2
Condo,41584.26,Bangkok,คลองเตย,Khlong Toei,คลองเตย,บริษัท คราวน์ ดีเวลลอปเม้นท์ จำกัด,Adapt/Renovate,33,109041,13.708056,100.583889,-4
Condo,32955.00,Bangkok,สวนหลวง,Suan Luang,สวนหลวง,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),Adapt/Renovate,34,115658,13.730278,100.651389,-5
Condo,21377.00,Bangkok,ราชเทวี,Ratchathewi,มักกะสัน,บริษัท เอคิว เอสเตท จำกัด (มหาชน),New Build,37,73035,13.758889,100.534444,-5
Condo,52853.00,Bangkok,บางกอกใหญ่,Bangkok Yai,วัดท่าพระ,บริษัท นารายณ์พร็อพเพอร์ตี้ จำกัด,New Build,16,72321,13.722778,100.476389,-2
Condo,16401.39,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,บริษัท ชีวาทัย จำกัด (มหาชน),New Build,29,132234,13.809722,100.537222,-4
Condo,40803.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท เสนา ดีเวลลอปเม้นท์ จำกัด (มหาชน),New Build,17,78175,13.776667,100.579444,-4
Condo,21180.00,Bangkok,วัฒนา,Watthana,พระโขนงเหนือ,บริษัท บีทีเอส แสนสิริ โฮลดิ้ง วัน จำกัด,Adapt/Renovate,39,81623,13.742222,100.585833,-5
Condo,21854.00,Bangkok,บางรัก,Bang Rak,สีลม,บริษัท เค.ทู แลนด์ จำกัด,Adapt/Renovate,4,45875,13.730833,100.524167,-2
Condo,32975.24,Bangkok,สวนหลวง,Suan Luang,สวนหลวง,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),Adapt/Renovate,34,115658,13.730278,100.651389,-5
Condo,29973.00,Bangkok,คลองสาน,Khlong San,คลองต้นไทร,บริษัท ริซึ่เพลซ 2002 จำกัด (มหาชน),New Build,18,76446,13.730278,100.509722,-2
Condo,5467.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางโคล่,ห้างหุ้นส่วนจำกัด ลี เรสซิเดนซ์,New Build,31,94956,13.693333,100.5025,0
Condo,5543.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางโคล่,บริษัท ซัมแลนด์ แอนด์เฮ้าส์ จำกัด,New Build,31,94956,13.693333,100.5025,0
Condo,15737.00,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,บริษัท สยามสินธร จำกัด,New Build,7,53263,13.744942,100.5222,-5
Condo,46789.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท สยามนุวัตร จำกัด,New Build,37,73035,13.758889,100.534444,-5
Condo,9135.00,Bangkok,คลองเตย,Khlong Toei,คลองเตย,บริษัท มาดาน โฮลดิ้ง จำกัด,Adapt/Renovate,33,109041,13.708056,100.583889,-4
Condo,13323.00,Bangkok,พญาไท,Phaya Thai,สามเสนใน,บริษัท แสนสิริ จำกัด (มหาชน),New Build,14,72952,13.78,100.542778,-4
Condo,25519.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท บีทีเอส แสนสิริ โฮลดิ้ง วัน จำกัด,New Build,37,73035,13.758889,100.534444,-5
Condo,2300.00,Bangkok,บางรัก,Bang Rak,สี่พระยา,บริษัท อนันดา เอ็มเอฟ เอเชีย สามย่าน จำกัด,New Build,4,45875,13.730833,100.524167,-2
Condo,55524.00,Bangkok,ปทุมวัน,Pathum Wan,ลุมพินี,บริษัท สยามสินธร จำกัด,Adapt/Renovate,7,53263,13.744942,100.5222,-5
Condo,10431.00,Bangkok,พญาไท,Phaya Thai,*ทุ่งพญาไท,บริษัท อนันดา เอ็มเอฟ เอเชีย ชิดลม จำกัด,New Build,14,72952,13.78,100.542778,-4
Condo,2095.00,Bangkok,สาทร,Sathon,ทุ่งวัดดอน,นางสมใจ  พุทธาภิบาล,Adapt/Renovate,28,84916,13.708056,100.526389,-4
Condo,42649.00,Bangkok,คลองเตย,Khlong Toei,คลองเตย,บริษัท วิชคอม โซไซตี้ ดีเวลลอปเม้น คอร์ปอเรชั่น จำกัด,New Build,33,109041,13.708056,100.583889,-4
Condo,29356.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,บริษัท กังวาลโฮลดิ้ง จำกัด,New Build,39,81623,13.742222,100.585833,-4
Condo,181014.00,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,บริษัท รีเจ้นท์กรีนเพาเวอร์ จำกัด,New Build,29,132234,13.809722,100.537222,-4
Condo,23802.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,นิติบุคคลอาคารชุด คาซ่าวีว่า,Adapt/Renovate,39,81623,13.742222,100.585833,-4
Condo,25335.00,Bangkok,ราชเทวี,Ratchathewi,ถนนพญาไท,บริษัท เอเชี่ยน พร็อพเพอร์ตี้ (2005) จำกัด,New Build,37,73035,13.758889,100.534444,-5
Condo,29742.00,Bangkok,บางพลัด,Bang Phlat,บางยี่ขัน,บริษัท ธนาแลนด์ จำกัด,New Build,25,99273,13.793889,100.505,-1
Condo,95861.00,Bangkok,ห้วยขวาง,Huai Khwang,บางกะปิ,บริษัท เอพี (เพชรบุรี) จำกัด,New Build,17,78175,13.776667,100.579444,-4
Condo,2354.00,Bangkok,บางพลัด,Bang Phlat,บางยี่ขัน,บริษัท เอพี เอ็มอี 1 จำกัด,New Build,25,99273,13.793889,100.505,-1
Condo,3599.00,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,บริษัท แสงลิต จำกัด,Adapt/Renovate,7,53263,13.744942,100.5222,-4
Condo,3986.00,Bangkok,ปทุมวัน,Pathum Wan,วังใหม่,บริษัท แฮปปี้ ทรี เรสซิเด้นซ์ จำกัด,Adapt/Renovate,7,53263,13.744942,100.5222,-4
Condo,5703.00,Bangkok,บางคอแหลม,Bang Kho Laem,วัดพระยาไกร,บริษัท มิตรพันธ์  แอ็สเซ็ท ดีเวลอปเม้นท์ จำกัด,Adapt/Renovate,31,94956,13.693333,100.5025,0
Condo,8103.00,Bangkok,บางแค,Bang Khae,บางแค,ห้างหุ้นส่วนจำกัด กิจการและครอบครัว,Adapt/Renovate,40,191781,13.696111,100.409444,-2
Condo,25246.00,Bangkok,คลองเตย,Khlong Toei,คลองตัน,บริษัท ทาร์เก็ตเพลซ จำกัด,New Build,33,109041,13.708056,100.583889,-4
Condo,3933.00,Bangkok,บางกอกใหญ่,Bangkok Yai,วัดท่าพระ,บริษัท ศุภกิจ (1987) จำกัด,New Build,16,72321,13.722778,100.476389,-2
Condo,3967.00,Bangkok,ดินแดง,Din Daeng,ดินแดง,บริษัท บ้านธันวา จำกัด,Adapt/Renovate,26,130220,13.769722,100.552778,-5
Condo,9507.00,Bangkok,จตุจักร,Chatuchak,เสนานิคม,บริษัท ยูทีลิตี้ แลนด์ จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,9781.00,Bangkok,จตุจักร,Chatuchak,เสนานิคม,บริษัท ยูทีลิตี้ แลนด์ จำกัด,New Build,30,160906,13.828611,100.559722,-4
Condo,3816.00,Bangkok,จตุจักร,Chatuchak,จตุจักร,บริษัท โฮ เพลส แลนด์ กรุ๊ป จำกัด,New Build,30,160906,13.828611,100.559722,-5
Condo,5869.00,Bangkok,บางซื่อ,Bang Sue,บางซื่อ,นายจักรทิพย์  นาคสมบูรณ์ แบะนางสาวสุทิรา นาคสมบูรณ์,Adapt/Renovate,29,132234,13.809722,100.537222,-4
Condo,6782.00,Bangkok,บางรัก,Bang Rak,สี่พระยา,บริษัท เอส.เค.วี.ยูไนเต็ด จำกัด,Adapt/Renovate,4,45875,13.730833,100.524167,-2
Condo,14611.00,Bangkok,คลองเตย,Khlong Toei,คลองเตย,บริษัท ยี.เอ็น.เซอร์วิส อพารืทเม้นท์ จำกัด,Adapt/Renovate,33,109041,13.708056,100.583889,-4
Condo,39905.00,Bangkok,สวนหลวง,Suan Luang,สวนหลวง,บริษัท อัสสกาญจน์ จำกัด,New Build,34,115658,13.730278,100.651389,-5
Condo,463796.00,Bangkok,ห้วยขวาง,Huai Khwang,ห้วยขวาง,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),Adapt/Renovate,17,78175,13.776667,100.579444,-5
Condo,25186.00,Bangkok,วัฒนา,Watthana,คลองเตยเหนือ,บริษัท เอ็นอีดี แมเนจเมนท์ จำกัด,New Build,39,81623,13.742222,100.585833,-5
Condo,260405.00,Bangkok,บางกอกน้อย,Bangkok Noi,อรุณอมรินทร์,บริษัท คอนคอร์ด พร็อพเพอร์ตี้ส์ กรุ๊ป  (ประเทศไทย) จำกัด,Adapt/Renovate,20,117793,13.770867,100.467933,0
Condo,42865.00,Bangkok,บางคอแหลม,Bang Kho Laem,บางคอแหลม,บริษัท สมนึกศรีวิไล จำกัด,Adapt/Renovate,31,94956,13.693333,100.5025,0
Condo,2856.00,Bangkok,ประเวศ,Prawet,หนองบอน,นางสาวนภัสพร รื่นจิตร์,Adapt/Renovate,32,160671,13.716944,100.694444,-4
Condo,3989.00,Bangkok,พญาไท,Phaya Thai,สามเสนใน,บริษัท ซี.แอล.อพาร์ทเม้นท์ จำกัด,New Build,14,72952,13.78,100.542778,-4
Condo,8793.00,Bangkok,พญาไท,Phaya Thai,สามเสนใน,บรัษัท  เคเอสเอเอส ดีเวลลอปเม้นท์ จำกัด,New Build,14,72952,13.78,100.542778,-4
Condo,3020.00,Bangkok,วัฒนา,Watthana,คลองตันเหนือ,นายภวัต  ศิศรินทร์,New Build,39,81623,13.742222,100.585833,-4
Condo,24520.00,Bangkok,ราชเทวี,Ratchathewi,ถนนเพชรบุรี,บริษัท พฤกษา เรียลเอสเตท จำกัด (มหาชน),New Build,37,73035,13.758889,100.534444,-5
